atomic_number,name,symbol,period,group,phase,type,de_name,en_name,es_name,fr_name,it_name,pt_name
56,Barium,Ba,6,2,solid,Alkaline Earth Metal,Barium,Barium,Bario,Baryum,Bario,Bário
57,Lanthanum,La,6,3,solid,Lanthanide,Lanthan,Lanthanum,Lantano,Lanthane,Lantanio,Lantânio
58,Cerium,Ce,6,,solid,Lanthanide,Cer,Cerium,Cerio,Cérium,Cerio,Cério
59,Praseodymium,Pr,6,,solid,Lanthanide,Praseodym,Praseodymium,Praseodimio,Praséodyme,Praseodimio,Praseodímio
60,Neodymium,Nd,6,,solid,Lanthanide,Neodym,Neodymium,Neodimio,Néodyme,Neodimio,Neodímio
61,Promethium,Pm,6,,artificial,Lanthanide,Pro­methium,Promethium,Prometio,Prométhium,Promezio,Promécio
62,Samarium,Sm,6,,solid,Lanthanide,Samarium,Samarium,Samario,Samarium,Samario,Samário
63,Europium,Eu,6,,solid,Lanthanide,Europium,Europium,Europio,Europium,Europio,Európio
64,Gadolinium,Gd,6,,solid,Lanthanide,Gadolinium,Gadolinium,Gadolinio,Gadolinium,Gadolinio,Gadolínio
65,Terbium,Tb,6,,solid,Lanthanide,Terbium,Terbium,Terbio,Terbium,Terbio,Térbio
66,Dysprosium,Dy,6,,solid,Lanthanide,Dysprosium,Dysprosium,Disprosio,Dysprosium,Disprosio,Disprósio
67,Holmium,Ho,6,,solid,Lanthanide,Holmium,Holmium,Holmio,Holmium,Olmio,Hólmio
68,Erbium,Er,6,,solid,Lanthanide,Erbium,Erbium,Erbio,Erbium,Erbio,Érbio
69,Thulium,Tm,6,,solid,Lanthanide,Thulium,Thulium,Tulio,Thulium,Tulio,Túlio
70,Ytterbium,Yb,6,,solid,Lanthanide,Ytterbium,Ytterbium,Iterbio,Ytterbium,Itterbio,Itérbio
71,Lutetium,Lu,6,,solid,Lanthanide,Lutetium,Lutetium,Lutecio,Lutécium,Lutezio,Lutécio
72,Hafnium,Hf,6,4,solid,Transition Metal,Hafnium,Hafnium,Hafnio,Hafnium,Afnio,Háfnio
73,Tantalum,Ta,6,5,solid,Transition Metal,Tantal,Tantalum,Tantalio,Tantale,Tantalio,Tântalo
74,Wolframium,W,6,6,solid,Transition Metal,Wolfram,Wolfram,Wolframio,Tungstène,Tungsteno,Tungstênio
75,Rhenium,Re,6,7,solid,Transition Metal,Rhenium,Rhenium,Renio,Rhénium,Renio,Rênio
76,Osmium,Os,6,8,solid,Transition Metal,Osmium,Osmium,Osmio,Osmium,Osmio,Ósmio
77,Iridium,Ir,6,9,solid,Transition Metal,Iridium,Iridium,Iridio,Iridium,Iridio,Irídio
78,Platinum,Pt,6,10,solid,Transition Metal,Platin,Platinum,Platino,Platine,Platino,Platina
79,Aurum,Au,6,11,solid,Transition Metal,Gold,Gold,Oro,Or,Oro,Ouro
